玩家ID,Electronic停留時間(秒),Mechanics停留時間(秒),Optics停留時間(秒),Thermody停留時間(秒),Wave停留時間(秒)
Player_1,10.00,1885.94,584.11,1.02,0.00
Player_2,0.00,0.00,149.14,0.00,0.00
Player_3,474.26,924.26,698.97,152.72,110.96
Player_4,248.41,960.98,526.88,265.60,214.28
Player_5,0.00,192.38,262.28,0.00,0.00
Player_6,226.33,551.85,180.17,81.72,166.46
Player_7,277.60,453.69,559.20,112.01,238.71
Player_8,189.30,675.61,503.82,234.46,116.19
Player_9,0.00,0.00,81.68,0.00,0.00
Player_10,0.00,292.23,252.99,11.02,25.02
